,,,,,,c1_b,c1_g,c2_b,c2_g,c3_b,c3_g,c4_b,c4_g,c5_b,c5_g,c6_b,c6_g,c7_b,c7_g,c8_b,c8_g,c9_b,c9_g,c10_b,c10_g,c11_b,c11_g,c12_b,c12_g,tch_m,tch_f,tch_t,tchpri,tchupr,tchregu,tchcont,tchpart,,,,,,,
360,C.R.C. NO. 12,24091501210,G K DHOLAKIYA ,Pvt. Unaided                                                               ,Pr. with Up.Pr. sec. and H.Sec.                                            ,67,46,67,38,89,53,106,78,139,77,169,92,186,100,0,149,0,145,0,193,357,322,297,263,2,6,8,0,0,8,0,0,,,,,,,
361,C.R.C. NO. 12,24091501211,G K ENG. DHOLAKIYA ,Pvt. Unaided                                                               ,Pr. Up Pr. and Secondary Only                                              ,81,49,70,68,98,74,82,78,90,85,100,80,100,80,121,84,156,95,129,100,0,0,0,0,0,8,8,6,2,8,0,0,,,,,,,
362,C.R.C. NO. 12,24091501212,SAIINT PAUL'S SCHOOL,Pvt. Unaided                                                               ,Secondary Only                                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,0,0,0,0,2,2,4,0,0,4,0,0,,,,,,,
363,C.R.C. NO. 11,24091501213,G T SHETH VIDYALAY(GUJ-MEDIUM),Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,52,48,50,36,65,41,63,48,59,55,68,51,63,56,59,56,0,0,0,0,0,0,0,0,0,15,15,10,5,15,0,0,,,,,,,
364,C.R.C. NO. 12,24091501214,GNAN DIP PRIMARY SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,27,31,32,26,24,34,20,32,35,24,27,18,19,26,14,19,0,0,0,0,0,0,0,0,3,5,8,4,4,8,0,0,,,,,,,
365,C.R.C. NO. 12,24091501215,K T SMARAK SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,15,15,9,17,10,23,16,16,8,13,9,13,17,11,0,0,0,0,0,0,0,0,0,0,0,6,6,2,4,6,0,0,,,,,,,
366,C.R.C. NO. 12,24091501216,ANIL GNAN MANDIR ,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,32,29,24,25,33,17,31,34,38,24,30,16,27,22,20,16,0,0,0,0,0,0,0,0,0,8,8,5,3,8,0,0,,,,,,,
367,C.R.C. NO. 12,24091501217,V J MODI SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,32,13,48,34,61,24,53,27,55,38,66,24,59,46,81,49,0,0,0,0,0,0,0,0,3,18,21,10,11,0,21,0,,,,,,,
368,C.R.C. NO. 12,24091501218,V J MODI ENG. SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,57,27,61,31,74,41,67,43,89,47,108,66,115,49,118,51,0,0,0,0,0,0,0,0,2,20,22,20,2,0,22,0,,,,,,,
369,C.R.C. NO. 12,24091501219,SADHU VASWANI SCHOOL,Pvt. Unaided                                                               ,Pr. with Up.Pr. sec. and H.Sec.                                            ,0,44,0,37,0,48,0,46,0,42,0,51,0,64,0,67,0,56,0,75,0,64,0,50,0,25,25,11,8,25,0,0,,,,,,,
370,C.R.C. NO. 12,24091501220,SADHU VASWANI ENG. SCHOOL,Pvt. Unaided                                                               ,Pr. with Up.Pr. sec. and H.Sec.                                            ,0,44,0,49,0,41,0,50,0,42,0,38,0,44,0,45,0,22,0,31,0,15,0,21,1,22,23,7,10,23,0,0,,,,,,,
371,C.R.C. NO. 12,24091501221,NEW PARIMAL SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,28,12,21,19,27,17,18,19,30,11,35,12,30,28,21,29,0,0,0,0,0,0,0,0,0,8,8,4,4,8,0,0,,,,,,,
372,C.R.C. NO. 12,24091501222,SHREE PRIVARTAN VIDYALAY,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,4,1,7,3,2,2,3,6,3,1,5,2,4,0,7,6,0,0,0,0,0,0,0,0,0,7,7,2,5,7,0,0,,,,,,,
373,C.R.C. NO. 12,24091501224,H M SINHAR PRAMARY SCHOOL ,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,59,44,57,43,36,28,62,29,54,29,57,36,52,26,34,24,0,0,0,0,0,0,0,0,0,13,13,9,4,13,0,0,,,,,,,
374,C.R.C. NO. 12,24091501225,JIVANJYOT PRATHMIK SCHOOL,Pvt. Unaided                                                               ,Pr. with Up.Pr. sec. and H.Sec.                                            ,24,9,17,12,25,12,31,15,36,31,49,11,42,27,43,19,28,17,41,11,12,0,11,0,1,11,12,4,3,12,0,0,,,,,,,
375,C.R.C. NO. 12,24091501227,SHREE JAGRUTI VIDHYALAY,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,31,0,36,0,57,0,38,0,34,0,46,0,48,0,49,0,0,0,0,0,0,0,0,0,2,6,8,5,3,8,0,0,,,,,,,
376,C.R.C. NO. 12,24091501228,SANSKAR PRATHAMIK SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,0,35,0,29,0,26,0,29,0,31,0,46,0,40,0,40,0,0,0,0,0,0,0,0,2,6,8,4,4,8,0,0,,,,,,,
377,C.R.C. NO. 12,24091501229,J.K. VIDHYALAY,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,0,0,4,7,6,4,8,16,6,8,7,11,13,10,8,18,0,0,0,0,0,0,0,0,1,8,9,4,5,9,0,0,,,,,,,
378,C.R.C. NO. 12,24091501232,K P S ENG. SCHOOL,Pvt. Unaided                                                               ,Pr. with Up.Pr. sec. and H.Sec.                                            ,2,1,1,2,1,2,1,2,2,1,2,1,1,2,1,1,10,10,10,10,1,1,1,1,1,2,3,2,1,3,0,0,,,,,,,
379,C.R.C. NO. 12,24091501233,DIVAEN PRI. SCHOOL,Pvt. Unaided                                                               ,Pr. Up Pr. and Secondary Only                                              ,1,1,1,0,0,2,1,1,4,2,3,0,3,1,0,0,239,0,264,0,0,0,0,0,1,7,8,5,3,8,0,0,,,,,,,
380,C.R.C. NO. 12,24091501234,G T SHETH VIDHAYALAY ENG.,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,37,21,23,22,30,23,22,13,29,17,25,26,42,13,27,12,0,0,0,0,0,0,0,0,1,8,9,4,5,9,0,0,,,,,,,
381,C.R.C. NO. 12,24091501236,GNANGANGA VIDHIYAPITH,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,18,9,10,11,13,12,12,11,15,13,17,17,22,10,12,8,0,0,0,0,0,0,0,0,0,8,8,4,4,7,1,0,,,,,,,
382,C.R.C. NO. 12,24091501238,K B SEDALIYA GUJ. MIDYAM ,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,12,10,7,11,10,10,12,7,10,7,5,4,5,0,0,0,0,0,0,0,0,0,0,0,1,6,7,5,2,0,7,0,,,,,,,
383,C.R.C. NO. 12,24091501239,SHRI TRIDAL VIDYALAYA,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,22,19,17,17,26,20,21,26,15,20,20,14,16,29,20,24,0,0,0,0,0,0,0,0,1,1,2,1,1,2,0,0,,,,,,,
384,C.R.C. NO. 12,24091501240,SATYAM VIDYALAY ,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,10,17,10,8,6,9,2,3,7,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6,5,1,5,1,0,,,,,,,
385,C.R.C. NO. 11,24091501241,SHREE RADE VIDHYALAY,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,8,6,8,6,9,7,8,5,10,4,9,3,7,6,7,7,0,0,0,0,0,0,0,0,2,3,5,3,2,5,0,0,,,,,,,
386,C.R.C. NO. 12,24091501242,INNOVATIVE SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,31,23,31,14,44,24,39,19,42,24,33,27,40,31,53,20,0,0,0,0,0,0,0,0,0,14,14,11,3,14,0,0,,,,,,,
387,C.R.C. NO. 12,24091501243,JIVAN SHANTI PRI. SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,4,3,4,3,5,6,5,3,3,6,7,4,22,5,10,6,0,0,0,0,0,0,0,0,2,3,5,2,3,5,0,0,,,,,,,
388,C.R.C. NO. 12,24091501244,KENDRIYA VIDHYALAYA,Central Govt.                                                              ,Pr. with Up.Pr. sec. and H.Sec.                                            ,89,51,79,46,69,46,90,48,74,43,78,61,59,48,73,47,90,42,69,35,69,52,78,32,21,15,36,19,1,33,3,0,,,,,,,
389,C.R.C. NO. 11,24091501245,SHREE SHYAMAL PRA. SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,12,6,12,12,15,14,12,8,5,9,6,9,9,4,5,7,0,0,0,0,0,0,0,0,1,8,9,5,4,0,9,0,,,,,,,
390,C.R.C. NO. 12,24091501246,NAVSHAKTI VIDHYALAY SPECIAL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,12,0,8,4,7,4,6,5,4,5,11,4,12,2,19,12,0,0,0,0,0,0,0,0,2,8,10,4,6,10,0,0,,,,,,,
391,C.R.C. NO. 12,24091501248,SHRI SAHJANAND PRIMARY SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,13,4,8,1,3,6,9,3,12,6,4,0,12,2,4,5,0,0,0,0,0,0,0,0,3,6,9,5,4,9,0,0,,,,,,,
392,C.R.C. NO. 12,24091501249,"ST MARRY SCHOOL, RAJKOT",Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,20,15,32,14,42,15,25,20,41,10,29,16,30,13,30,11,0,0,0,0,0,0,0,0,2,12,14,6,8,14,0,0,,,,,,,
393,C.R.C. NO. 12,24091501250,SHRI D.H.L.VIDYALAY,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,5,0,1,0,2,2,2,1,3,1,2,1,2,0,1,1,0,0,0,0,0,0,0,0,5,3,8,6,2,8,0,0,,,,,,,
394,C.R.C. NO. 12,24091501253,MAHAN HIGH SCHOOL - RAJKOT,Pvt. Aided                                                                 ,Secondary Only                                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,24,46,44,0,0,0,0,2,4,6,0,0,0,6,0,,,,,,,
395,C.R.C. NO. 12,24091501254,S H SIHAR HIGH SCHOOL,Pvt. Unaided                                                               ,Secondary with Higher Secondary                                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,48,59,63,0,31,0,27,5,3,8,0,0,8,0,0,,,,,,,
396,C.R.C. NO. 12,24091501255,H M SINHAR SECONDARY SCHOOL,Pvt. Unaided                                                               ,Secondary Only                                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,8,6,0,0,0,0,2,3,5,0,0,5,0,0,,,,,,,
397,C.R.C. NO. 12,24091501256,SHREE SWASTIK GIRLS HIGH SCHOOL,Pvt. Unaided                                                               ,Secondary with Higher Secondary                                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,21,24,11,12,14,10,0,5,5,0,0,5,0,0,,,,,,,
398,C.R.C. NO. 12,24091501257,SHRI V J MODI HIGH SCHOOL (GUJ MED),Pvt. Unaided                                                               ,Secondary Only                                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,62,131,55,0,0,0,0,2,9,11,0,0,0,11,0,,,,,,,
399,C.R.C. NO. 12,24091501258,SHRI V J MODI HIGH SCHOOL (ENG MED),Pvt. Unaided                                                               ,Secondary Only                                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,55,96,60,0,0,0,0,2,5,7,0,0,0,7,0,,,,,,,
400,C.R.C. NO. 12,24091501259,SHRI V J MODI HIGH. SEC. SCHOOL (COMERCE-GUJ),Pvt. Unaided                                                               ,Higher Secondary only/Jr. College                                          ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,25,35,25,1,3,4,0,0,0,4,0,,,,,,,
401,C.R.C. NO. 12,24091501260,SHRI V J MODI HIGH. SEC. SCHOOL (COMERCE-ENG),Pvt. Unaided                                                               ,Higher Secondary only/Jr. College                                          ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,1,1,3,4,0,0,0,4,0,,,,,,,
402,C.R.C. NO. 12,24091501261,SHRI V J MODI HIGH. SEC. SCHOOL (SCI-GUJ),Pvt. Unaided                                                               ,Higher Secondary only/Jr. College                                          ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,47,84,48,7,1,8,0,0,3,5,0,,,,,,,
403,C.R.C. NO. 12,24091501262,SHRI V J MODI HIGH. SEC. SCHOOL (SCI-ENG),Pvt. Unaided                                                               ,Higher Secondary only/Jr. College                                          ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,30,38,32,2,3,5,0,0,0,5,0,,,,,,,
404,C.R.C. NO. 13,24091501263,VIDHYA NIKETAN HIGHER SECONDARY (ENG MED),Pvt. Unaided                                                               ,Secondary with Higher Secondary                                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,14,50,11,52,27,63,33,7,2,9,0,0,9,0,0,,,,,,,
405,C.R.C. NO. 12,24091501264,VIDHYA NIKETAN PRI. AND SEC.,Pvt. Unaided                                                               ,Pr. with Up.Pr. sec. and H.Sec.                                            ,36,27,34,16,28,14,27,20,35,13,16,12,43,12,35,11,47,11,50,11,52,27,63,33,3,14,17,6,5,17,0,0,,,,,,,
406,C.R.C. NO. 12,24091501265,SHRI SAHJANAND HIGH SCHOOL,Pvt. Unaided                                                               ,Secondary with Higher Secondary                                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,14,0,0,0,0,0,3,2,5,0,0,5,0,0,,,,,,,
407,C.R.C. NO. 12,24091501266,SHRI SWASTIK SCHOOL OF SCIENCE ,Pvt. Unaided                                                               ,Higher Secondary only/Jr. College                                          ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,131,158,135,10,7,17,0,0,17,0,0,,,,,,,
408,C.R.C. NO. 12,24091501268,ST. PAUL'S SCHOOL,Pvt. Unaided                                                               ,Pr. with Up.Pr. sec. and H.Sec.                                            ,194,94,184,103,192,93,189,99,145,96,152,85,118,69,111,59,102,62,67,55,34,21,40,21,20,82,102,30,30,102,0,0,,,,,,,
409,C.R.C. NO. 12,24091501269,J K GIRLS HIGH SCHOOL,Pvt. Aided                                                                 ,Secondary Only                                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,51,0,0,0,0,1,2,3,0,0,3,0,0,,,,,,,
410,C.R.C. NO. 12,24091501270,J K GIRLS HIGH. SEC. SCHOOL,Pvt. Unaided                                                               ,Higher Secondary only/Jr. College                                          ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,13,0,4,4,0,0,3,1,0,,,,,,,
411,C.R.C. NO. 12,24091501274,DIVINE  SCHOOL(ENG.MED.),Pvt. Unaided                                                               ,Pr. with Up.Pr. sec. and H.Sec.                                            ,0,0,1,0,2,1,1,1,1,0,1,1,2,0,2,1,0,0,0,0,0,0,0,0,7,3,10,5,2,0,10,0,,,,,,,
412,C.R.C. NO. 12,24091501277,TAPASVI SCHOOL (ENG MED),Pvt. Unaided                                                               ,Pr. with Up.Pr. sec. and H.Sec.                                            ,35,29,30,21,42,21,20,13,26,14,17,7,17,7,24,9,22,12,21,9,38,8,19,6,3,13,16,4,4,0,16,0,,,,,,,
413,C.R.C. NO. 12,24091501278,TAPASVI SCHOOL (GUJ MED),Pvt. Unaided                                                               ,Pr. with Up.Pr. sec. and H.Sec.                                            ,6,2,4,1,8,2,5,4,11,4,12,4,11,7,15,5,18,5,12,6,16,11,14,6,0,8,8,3,2,0,8,0,,,,,,,
414,C.R.C. NO. 12,24091501279,SAINT MARY'S SCHOOL,Pvt. Aided                                                                 ,Secondary with Higher Secondary                                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,56,152,0,84,50,109,41,13,4,17,0,0,17,0,0,,,,,,,
415,C.R.C. NO. 12,24091501280,SHRI RADHE MADHYAMIK SHALA,Pvt. Unaided                                                               ,Secondary with Higher Secondary                                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,3,2,0,0,1,4,5,0,0,0,5,0,,,,,,,
416,C.R.C. NO. 12,24091501281,SHRI CHANAKYA MADHYAMIK SHALA,Pvt. Unaided                                                               ,Secondary with Higher Secondary                                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,21,60,25,31,8,9,8,4,6,10,0,0,0,10,0,,,,,,,
417,C.R.C. NO. 12,24091501282,SAROJBEN MEMORIAL OPPORTUNITY SCHOOL,Pvt. Unaided                                                               ,Pr. Up Pr. and Secondary Only                                              ,13,14,18,27,24,10,26,10,24,11,17,8,22,11,22,10,22,7,31,23,0,0,0,0,1,6,7,3,2,7,0,0,,,,,,,
418,C.R.C. NO. 12,24091501285,MANDIR HIGH SCHOOL ,Pvt. Unaided                                                               ,Secondary with Higher Secondary                                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,18,29,18,11,5,6,3,0,3,3,0,0,0,3,0,,,,,,,
419,C.R.C. NO. 12,24091501286,SANNIDHYA SCIENCE SCHOOL,Pvt. Unaided                                                               ,Secondary with Higher Secondary                                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,17,71,15,59,17,9,15,14,3,17,0,0,17,0,0,,,,,,,
420,C.R.C. NO. 12,24091501288,T.N.RAO SCHOOL FOR GIRLS,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,0,47,0,56,0,31,0,14,0,24,0,17,0,9,0,9,0,0,0,0,0,0,0,0,0,35,35,20,15,35,0,0,,,,,,,
